SOURCE,TARGET,RELATION,RELATION CONTEXT,LITERARY SOURCE,SOURCE TYPE
Kahun Papyrus IV. 3 Cols. 15-14,,No relations,,Kahun Papyrus,Mathematical Papyrus
"Rhind Papyrus Problem 41, 42, 43",,No relations,,Rhind Papyrys,Mathematical Papyrus
TMS p.025 P254835,,No relations,,TMS p.025 P254835,Cuneiform Tablet
"MCT 044, YBC 07302 P255051",,No relations,,"MCT 044, YBC 07302 P255051",Cuneiform Tablet
MCT 057 (P255065) ,,No relations,,MCT 057 (P255065) ,Cuneiform Tablet
Aristotle,Bruson of Herakleia Pontike,Back Reference,Description of Work,"Posterior Analytics, Sophistic Refutations",Philosophical Treatise
Aristotle,Hippokrates of Khios,Back Reference,Mention of Work,Sophistic Refutations,Philosophical Treatise
Plato,,No relations,Mention,Repiblic,Philosophical Treatise
Galen of Pergamon,,,Mention,De Animi Cuicslibet precatorium digitone et curatiore,Medical Treatise
Marinos of Neapolis,Euclid of Alexandria,Commentary,Description of Work,Commentary on Euclid's Data,Mathematical Treatise
Joannes Philoponis,Hippokrates of Khios,Back Reference,Mention of Work,Commentary on Physics by Philoponis,Philosophical Commentary
Joannes Philoponis,Antiphon of Athens,Back Reference,Mention of Work,Commentary on Physics by Philoponis,Philosophical Commentary
Joannes Philoponis,Aristotle,Back Reference,Mention,Commentary on Physics by Philoponis,Philosophical Commentary
Joannes Philoponis,Bruson of Herakleia Pontike,Back Reference,Description of Work,Commentary on Posterior Analytics by Aristotle,Philosophical Commentary
Joannes Philoponis,Aristotle,Back Reference,Mention,Commentary on Posterior Analytics by Aristotle,Philosophical Commentary
Joannes Philoponis,Alexander of Aphrodisias,Back Reference,Mention of Work,Commentary on Posterior Analytics by Aristotle,Philosophical Commentary
Joannes Philoponis,Proklos of Lukia,Back Reference,Mention of Work,Commentary on Posterior Analytics by Aristotle,Philosophical Commentary
Proklos of Lukia,Hippias of Elis,Back Reference,Mention of Work,On Euclid by Proclos,Mathematical Commentary
Euclid of Alexandria,Eudoxos of Knidos,Indirect Back Reference,Mention of Work,Elements,Mathematical Treatise
Proklos of Lukia,Eudoxos of Knidos,Back Reference,Mention of Work,On Euclid by Proclos,Mathematical Commentary
